date,hour,district,OS,RA,QS,RD,SS,SLC,SO,ST,SUT
1,0,강남구,387,6962,3539,490,102,106,175,404,35
1,0,강동구,30,1664,1060,30,0,1,11,2,1
1,0,강북구,8,1861,999,236,18,21,43,4,2
1,0,강서구,129,2175,681,343,6,18,75,20,11
1,0,관악구,21,1525,934,171,27,22,23,33,10
1,0,광진구,164,1780,538,16,0,13,12,3,2
1,0,구로구,41,1649,1064,532,26,30,36,26,10
1,0,금천구,17,637,16,696,23,9,3,9,5
1,0,노원구,91,2104,1070,26,2,87,53,21,6
1,0,도봉구,0,1504,1379,30,0,12,24,9,1
1,0,동대문구,89,1231,753,13,0,25,19,11,4
1,0,동작구,41,1993,688,579,29,16,14,5,3
1,0,마포구,185,2332,2092,1731,892,38,36,24,6
1,0,서대문구,218,1306,209,540,140,21,17,18,2
1,0,서초구,315,3394,687,687,45,113,74,221,34
1,0,성동구,273,1493,221,5,0,1,34,3,1
1,0,성북구,80,2292,1336,165,10,156,71,52,14
1,0,송파구,164,4830,2826,865,17,8,80,42,10
1,0,양천구,552,3623,1262,272,5,5,5,5,4
1,0,영등포구,167,1645,383,361,15,55,59,31,8
1,0,용산구,270,2546,1453,101,1,34,27,8,4
1,0,은평구,0,164,21,92,36,48,3,7,2
1,0,종로구,30,1414,690,136,153,103,65,70,6
1,0,중구,10,605,522,436,197,20,18,28,5
1,0,중랑구,103,1321,381,155,2763,59,54,55,7
1,1,강남구,275,1426,649,327,16,29,28,143,13
1,1,강동구,130,1137,738,97,0,3,20,2,1
1,1,강북구,19,2528,1782,112,0,28,59,17,4
1,1,강서구,322,3195,981,308,36,4,46,5,6
1,1,관악구,65,2711,1755,34,0,1,45,6,3
1,1,광진구,153,1073,1018,0,0,18,17,5,2
1,1,구로구,150,942,646,81,2,18,8,6,3
1,1,금천구,96,802,392,23,0,7,9,4,1
1,1,노원구,167,1820,1308,369,296,0,27,2,0
1,1,도봉구,51,1846,1374,8,0,13,22,3,1
1,1,동대문구,121,687,212,9,0,15,27,11,5
1,1,동작구,124,1688,615,14,1,4,42,3,0
1,1,마포구,190,1513,916,29,1,3,35,10,0
1,1,서대문구,148,638,100,44,0,25,28,13,1
1,1,서초구,317,3789,2125,14,0,9,76,19,3
1,1,성동구,332,1572,747,7,0,6,16,6,1
1,1,성북구,229,1754,830,875,245,25,41,8,1
1,1,송파구,205,1536,1244,227,7,35,45,32,2
1,1,양천구,753,2931,1450,38,0,1,27,6,0
1,1,영등포구,160,1810,522,78,2,16,71,29,7
1,1,용산구,470,2547,983,32,2,3,64,2,2
1,1,은평구,9,684,351,6,0,43,5,31,5
1,1,종로구,163,484,20,519,222,23,23,11,1
1,1,중구,25,362,96,144,60,43,13,14,2
1,1,중랑구,218,2186,996,248,380,42,36,29,11
1,2,강남구,765,3248,1535,514,0,25,75,15,4
1,2,강동구,134,811,556,8,0,6,13,2,0
1,2,강북구,42,160,119,0,0,5,0,0,0
1,2,강서구,173,461,3,188,6,33,13,12,3
1,2,관악구,14,2836,1668,0,0,0,52,8,1
1,2,광진구,428,1519,583,14,0,10,9,3,0
1,2,구로구,73,750,233,9,0,2,11,2,0
1,2,금천구,160,573,88,4,0,6,22,1,1
1,2,노원구,119,1719,1485,0,0,48,32,10,2
1,2,도봉구,11,216,122,0,0,1,1,0,0
1,2,동대문구,340,2085,1242,0,0,9,36,11,2
1,2,동작구,130,550,77,256,0,4,21,3,0
1,2,마포구,300,1581,1234,51,0,0,29,2,2
1,2,서대문구,208,1112,338,62,6,7,54,7,0
1,2,서초구,1252,2507,1070,939,2,35,84,24,13
1,2,성동구,762,1463,168,76,1,26,59,20,4
1,2,성북구,122,2745,1548,0,0,66,97,24,4
1,2,송파구,286,1129,159,176,2,5,24,7,1
1,2,양천구,1501,3234,1513,18,0,4,4,1,0
1,2,영등포구,353,1614,202,445,10,17,37,20,8
1,2,용산구,493,3476,1345,145,2,6,94,18,1
1,2,은평구,117,1303,1020,99,12,11,53,12,3
1,2,종로구,24,2045,1660,13,0,39,84,19,6
1,2,중구,48,2384,1449,194,29,38,121,35,9
1,2,중랑구,143,2372,2429,0,0,20,53,4,2
1,3,강남구,320,1519,336,567,0,37,53,5,2
1,3,강동구,8,202,64,22,0,0,0,0,0
1,3,강북구,44,462,354,0,0,4,7,0,0
1,3,강서구,148,2369,988,32,2,33,56,16,6
1,3,관악구,262,2232,1465,0,0,1,40,3,1
1,3,광진구,314,1366,927,38,0,1,45,10,3
1,3,구로구,2,38,7,4,0,14,1,4,0
1,3,금천구,5,44,75,0,0,1,0,0,0
1,3,노원구,347,3022,1188,69,0,3,59,8,3
1,3,도봉구,10,1144,985,0,0,1,20,4,2
1,3,동대문구,216,1270,517,0,0,4,36,8,3
1,3,동작구,250,1433,624,4,0,30,47,12,2
1,3,마포구,557,2776,1949,65,0,6,87,17,8
1,3,서대문구,197,1756,1045,0,0,0,48,7,3
1,3,서초구,576,2252,2798,130,1,55,98,22,6
1,3,성동구,637,1702,817,32,0,46,46,8,2
1,3,성북구,533,1559,563,7,0,41,40,13,3
1,3,송파구,99,1007,389,195,8,0,20,0,1
1,3,양천구,1415,3598,1061,0,0,5,7,4,1
1,3,영등포구,350,1664,285,8,0,16,24,9,2
1,3,용산구,697,1850,295,94,0,12,57,11,4
1,3,은평구,110,980,1031,0,0,0,18,2,2
1,3,종로구,95,851,571,1,0,27,26,4,0
1,3,중구,73,612,357,180,5,68,21,14,1
1,3,중랑구,62,351,0,40,1,1,11,1,0
1,4,강남구,175,1863,438,224,4,40,35,8,2
1,4,강동구,53,34,877,52,0,3,6,1,0
1,4,강북구,52,2086,1172,123,4,9,36,2,3
1,4,강서구,52,1162,227,122,3,44,26,14,10
1,4,관악구,0,777,98,15,0,0,0,0,2
1,4,광진구,125,707,262,0,0,23,24,1,0
1,4,구로구,0,834,92,23,0,9,6,8,5
1,4,금천구,5,453,335,229,11,24,3,7,3
1,4,노원구,59,1972,1625,84,0,17,82,19,4
1,4,도봉구,164,2073,2281,9,4,5,36,5,0
1,4,동대문구,181,1382,750,19,0,7,14,1,3
1,4,동작구,171,676,16,121,82,0,10,0,0
1,4,마포구,325,2773,1428,78,2,3,81,10,2
1,4,서대문구,5,110,922,2,0,0,0,0,0
1,4,서초구,381,4104,1338,301,6,7,140,25,5
1,4,성동구,338,1779,834,51,0,35,62,3,0
1,4,성북구,43,1500,915,37,0,38,39,10,0
1,4,송파구,88,1737,1232,138,7,7,36,14,3
1,4,양천구,155,1989,680,51,0,2,33,5,0
1,4,영등포구,246,2006,212,221,0,8,100,23,4
1,4,용산구,334,2611,1536,59,0,0,41,2,0
1,4,은평구,23,696,560,21,0,0,6,1,0
1,4,종로구,12,140,61,0,0,25,5,3,2
1,4,중구,0,0,0,0,0,0,0,0,0
1,4,중랑구,95,143,0,33,62,8,18,5,0
1,5,강남구,440,4954,2004,1369,1623,37,146,65,16
1,5,강동구,131,1854,4705,551,370,5,19,6,0
1,5,강북구,8,480,239,224,60,68,10,49,6
1,5,강서구,126,2734,654,255,14,56,48,32,13
1,5,관악구,40,2244,552,107,4,54,26,33,8
1,5,광진구,118,1440,559,61,1,6,58,10,4
1,5,구로구,70,2157,774,59,9,43,30,19,9
1,5,금천구,28,517,395,293,17,43,11,19,6
1,5,노원구,71,1073,853,96,9,70,32,38,15
1,5,도봉구,104,3795,5179,223,0,33,79,26,11
1,5,동대문구,209,1630,1476,144,11,6,31,16,5
1,5,동작구,23,1492,300,318,18,47,12,40,20
1,5,마포구,95,1996,2674,46,2,53,92,46,10
1,5,서대문구,3,211,18,45,5,50,4,20,3
1,5,서초구,301,3298,574,456,19,56,110,49,12
1,5,성동구,93,1226,213,15,0,6,55,5,4
1,5,성북구,16,192,32,77,102,51,6,28,3
1,5,송파구,133,1714,1013,1326,1679,49,27,70,20
1,5,양천구,87,3381,1627,142,5,20,34,10,4
1,5,영등포구,33,3384,575,993,232,104,82,39,10
1,5,용산구,86,2183,703,263,5,46,34,15,2
1,5,은평구,0,169,84,65,5,3,1,3,2
1,5,종로구,0,227,112,331,35,8,11,8,3
1,5,중구,16,994,426,157,5,38,91,40,9
1,5,중랑구,16,2101,722,188,175,19,67,19,4
1,6,강남구,380,4373,945,3251,1938,53,146,101,31
1,6,강동구,257,3142,5155,740,356,12,15,19,3
1,6,강북구,2,1956,1035,502,78,65,35,45,10
1,6,강서구,352,5811,2867,1128,509,133,164,101,23
1,6,관악구,21,3132,1060,252,3,119,46,43,15
1,6,광진구,22,748,87,78,2,7,18,14,3
1,6,구로구,70,3339,185,870,26,37,45,48,15
1,6,금천구,116,1584,67,830,49,4,14,9,4
1,6,노원구,243,1345,936,410,24,40,37,13,3
1,6,도봉구,21,1011,283,142,3,10,11,3,2
1,6,동대문구,125,2017,508,113,4,86,53,67,9
1,6,동작구,81,1880,488,271,14,19,28,10,9
1,6,마포구,235,2884,1052,347,35,84,94,71,16
1,6,서대문구,53,2260,1863,233,13,42,51,15,6
1,6,서초구,537,3259,813,3009,1132,151,126,106,20
1,6,성동구,262,1669,343,191,11,16,25,17,2
1,6,성북구,46,1335,544,308,41,137,52,73,10
1,6,송파구,179,3474,689,2515,1016,38,73,50,14
1,6,양천구,5,1114,468,332,120,72,5,38,9
1,6,영등포구,227,2085,410,874,21,263,44,108,32
1,6,용산구,235,3233,1517,265,19,26,72,26,12
1,6,은평구,60,1766,891,102,3,2,66,10,6
1,6,종로구,9,486,18,615,354,56,15,26,9
1,6,중구,12,4071,1620,549,122,85,148,92,34
1,6,중랑구,55,1414,330,101,17,63,22,73,4
1,7,강남구,148,4355,421,3897,2688,85,62,109,27
1,7,강동구,252,5262,3236,707,20,9,37,21,11
