date,hour,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
1,0,21376,3824,8242,16860,6234,4272,13163,6420,16147,6513,4544,7957,17605,8745,17961,2335,13424,14843,10854,13315,8212,7682,6849,6524,12784
1,1,7776,2217,6422,9095,5566,4503,5597,4645,5287,5746,2088,3495,3614,3614,7452,3690,6245,6640,6389,5847,5965,3197,3663,3515,7726
1,2,8572,1826,1507,3979,5086,2707,2519,2181,3920,417,3858,1981,3463,2493,9059,3314,8355,3538,5950,8309,6041,4511,6503,5600,5321
1,3,3865,650,1022,11951,5185,2767,1385,355,5454,2153,2503,3581,6247,2804,9599,4182,4872,3205,6082,5077,3437,2011,1903,2700,983
1,4,3990,1370,7021,11219,2633,1543,3398,4105,6175,6409,3943,2662,4660,1292,8203,3981,4411,6354,4761,4702,4382,1478,1555,0,2908
1,5,21334,11797,12655,15566,8702,5133,10362,5748,10525,14994,7796,7221,11067,5049,15160,3531,6140,19624,17231,22074,8678,2768,2973,5535,9160
1,6,35869,16336,22538,39918,15001,6118,15414,9938,11115,5884,13266,8927,18674,13318,35742,6523,18084,29548,11974,31967,10377,5254,12868,23253,14150
1,7,43259,20319,23905,32123,13072,15695,13774,5289,13173,10436,10402,10545,22652,14567,42513,8175,16123,46513,19484,28170,10559,5946,7921,9194,15115
1,8,30727,18101,27812,29841,11310,12477,17557,9388,23792,14729,11675,13919,18898,22038,25795,8735,14516,32526,17943,37796,10596,4280,10138,12256,22138
1,9,56384,10220,20727,32536,19301,15353,17089,6808,16016,17536,11933,20378,17770,16880,28811,6793,20196,37796,18792,41248,9269,7455,13133,7630,19947
1,10,58105,17596,22356,33524,17556,10724,14197,5623,22834,8561,4462,19570,13036,23481,51793,8640,17291,35511,19483,28021,12019,6126,19705,14778,13068
1,11,48502,9876,16887,46576,18017,4468,14603,5999,20431,11804,8256,13603,19979,15475,54069,5324,13969,43492,19162,32184,11481,2916,15011,7823,9826
1,12,55490,13368,22568,29040,14205,9573,19730,6346,23870,10697,11466,13676,23143,10303,41933,11184,20353,41873,20031,33222,14509,4722,14381,9257,11169
1,13,41769,12888,30157,26478,13588,14939,18738,6299,17549,6404,11131,9107,16632,12022,35528,4376,23097,48186,13127,32595,10309,11026,22494,20447,15727
1,14,51786,17465,25129,30430,16845,12972,17302,4591,18896,14947,10684,17084,23115,15173,55456,6499,19378,38644,15069,33947,21042,11597,22082,20944,10825
1,15,40364,17224,22211,26906,21582,16217,17011,10745,18238,8424,10539,16658,21625,11094,42511,6626,17618,23674,25236,36993,19563,13907,30356,14565,10194
1,16,35774,13427,27641,24118,19136,13339,17884,6560,24631,9582,9966,19564,27971,10542,50060,3898,16375,27446,30932,37228,14382,10822,25558,19071,18427
1,17,41786,14700,24388,22754,11077,17993,19231,6826,20955,15490,9870,9106,23666,12140,34924,3538,23107,30736,24282,28273,12955,9982,21126,24432,18950
1,18,46307,20384,26800,29761,12050,16912,18469,4685,14107,14929,12329,12477,26143,13739,54491,11286,23142,36271,14287,29124,10777,10562,20530,13700,16267
1,19,37088,12401,14834,30475,14559,11119,12351,12070,13070,6462,12728,21058,23067,11073,42309,7706,23685,22394,17151,27417,15782,14672,30188,19531,14084
1,20,47806,10762,22489,22967,16089,10835,19758,10427,13952,9166,8423,18306,28035,15312,36483,6446,20455,28807,18972,38001,12078,12492,23260,11806,17063
1,21,33156,11878,21737,19616,19690,12137,20996,5495,16260,11371,10902,13328,18620,9409,27051,5387,22879,22843,15225,32530,15347,11404,25065,11195,15370
1,22,40070,7840,21102,23156,12425,14930,14383,7419,16299,7524,10820,10903,21371,8185,27310,6673,16038,33655,20006,24096,7264,10455,18194,13592,15950
1,23,29434,4869,13604,18072,13119,10519,23614,7113,7058,6323,9230,12216,28254,12553,16755,7113,9002,18804,18157,35408,11394,13142,8182,7299,17143
2,0,11827,8172,7578,14063,5168,9717,9581,4381,17587,9136,7600,4559,16185,8060,13622,6274,12008,15057,12198,13454,12113,4531,8341,3991,6878
2,1,18011,2005,4988,7347,3001,6878,3148,2541,11074,6088,5630,3789,12834,3705,6832,3815,4381,4873,6362,4865,10475,2952,6971,4310,5005
2,2,9118,3702,2355,4544,7056,3226,2722,2634,1743,3235,2790,10874,6998,2597,14854,4431,5355,5228,905,8074,8380,4529,5059,3025,3305
2,3,9150,4852,4117,3872,4430,3920,2842,389,4984,5980,4457,6891,5226,3098,12041,1855,4415,6230,2270,5524,10517,1074,2289,3151,5208
2,4,6899,3059,6717,5359,4262,5899,5189,1620,7132,7605,13257,7610,8131,3861,8137,5861,9532,4870,7663,2850,7055,8674,5039,2829,8300
2,5,14470,4467,8555,12316,9094,7915,10375,6494,12413,11874,11450,4366,11821,8410,13854,12610,9876,15521,5063,14936,8750,10484,5528,5179,9253
2,6,25745,8262,11738,14566,10322,13689,21192,8256,16096,3660,8665,6402,21945,12672,29192,12393,10311,25720,13521,20569,13788,8638,17278,12152,16151
2,7,30698,3995,8916,21059,17571,16277,23995,14808,12127,14629,13135,11767,21763,14142,45495,10986,11983,26038,22283,20570,21696,7640,13076,16565,13805
2,8,28389,15721,11458,16802,14877,16280,21138,9533,12622,14009,11097,15152,25184,6819,30041,14772,15831,32975,11385,22135,21703,6096,17196,13165,14062
2,9,26720,10034,11392,11170,11412,12309,20445,6999,13300,16391,15830,11136,25190,14355,35912,10266,15848,28114,18712,23407,16672,10619,21305,17637,17209
2,10,31152,10798,14181,13346,14039,24513,23877,10582,13713,10683,14559,15270,28084,13819,36255,11895,18630,37877,13700,23192,14260,6229,19144,9498,14667
2,11,38242,9333,10079,11167,18880,19820,23306,9300,14411,12582,16113,12787,19323,7449,39980,18919,19595,25645,11571,19296,15868,10816,21890,10278,18916
2,12,27667,14017,20731,11915,19878,11707,21605,11493,14030,12112,9847,13336,29087,14266,26633,8551,18260,27940,15745,14826,12822,5179,29778,12800,20899
2,13,33056,14688,10388,13815,17974,14706,28704,8725,16271,17058,17190,10805,18739,6814,40192,12250,14621,35970,20801,24216,13360,8006,21075,14206,23336
2,14,35125,9672,17282,25226,11687,15363,32108,15638,13867,10488,15118,14216,24203,11355,34278,19221,19221,31694,19828,20361,15172,4551,27834,15083,20378
2,15,30437,14856,7839,21764,21222,14103,23616,15420,16413,13208,15241,17921,20819,12837,48804,15129,15669,36011,13698,21045,24290,9344,25267,21901,25924
2,16,31790,13733,12301,25015,13146,8386,24156,10893,19568,15134,23388,14511,14857,21776,35783,15431,14362,31785,25578,13529,23661,9358,24066,15356,16739
2,17,26718,16778,12324,17870,15590,15792,27315,10473,13922,10325,12865,12276,20297,12656,37799,18120,11298,32050,20311,19874,14407,9273,13961,11122,22804
2,18,26543,12423,10179,15727,3114,16092,23061,7077,12436,7223,14295,15382,24855,10819,40339,16304,15214,35507,16207,21683,14609,3983,21667,15519,14366
2,19,22839,11109,9976,17942,11999,11586,27684,14118,13437,7142,19410,15355,18208,18755,39667,20045,22048,32657,12723,19845,14726,9576,27861,20670,17325
2,20,27034,5555,11730,18796,7739,11123,20920,10721,26768,11918,24683,13076,21090,13011,39838,10898,16712,31502,6821,16847,22336,10387,16570,17185,28512
2,21,21227,13200,9995,14904,8441,9017,25841,12507,19377,10315,24300,12768,23772,12765,31666,19496,21942,37732,13838,15265,12000,7489,14112,11411,18613
2,22,25887,5580,11414,11864,10916,12778,27192,10604,21179,12115,14907,17531,22467,12747,42986,16329,22472,30975,17229,29363,12047,4982,18766,10595,21142
2,23,22372,11143,13559,13726,6832,8826,18943,11896,16405,8231,16585,8949,23653,9914,30510,8787,18203,16975,9746,20070,10278,4036,20295,8184,6773
3,0,17629,7952,5756,8033,4130,8963,6373,3572,6284,3754,6532,5446,12254,4925,16374,3145,8873,6936,5593,8456,7554,7703,6616,11117,8702
3,1,19864,1523,3128,4384,4036,6038,2859,917,2995,3207,2351,2425,9421,1535,10536,1756,1198,4822,2494,9107,4750,208,1746,5791,2712
